func_name,work_time,date_time
root,0.0024,2025-11-12 19:29:01.242253
get_login_page,0.0001,2025-11-12 19:29:01.321447
login,0.0189,2025-11-12 19:29:14.476911
get_login_page,0.0001,2025-11-12 19:29:14.504864
get_registration_page,0.001,2025-11-12 19:29:50.029678
get_login_page,0.0001,2025-11-12 19:29:50.051147
registration,0.0023,2025-11-12 19:30:04.157481
get_home_page,0.0016,2025-11-12 19:30:04.163390
root,0.004,2025-11-12 20:32:35.203528
root,0.0002,2025-11-12 20:32:35.380584
login,0.008,2025-11-12 20:32:47.606280
get_registration_page,0.0018,2025-11-12 20:34:58.591253
registration,0.0043,2025-11-12 20:35:15.053239
get_home_page,0.0035,2025-11-12 20:35:15.065811
logout,0.0002,2025-11-12 20:35:19.936900
login,0.0067,2025-11-12 20:35:52.672055
get_registration_page,0.0001,2025-11-12 20:35:57.058987
registration,0.0018,2025-11-12 20:36:07.474106
registration,0.0036,2025-11-12 20:36:20.182877
get_home_page,0.0018,2025-11-12 20:36:20.192096
get_registration_page,0.0001,2025-11-12 20:36:29.912638
get_login_page,0.0001,2025-11-12 20:36:32.349992
login,0.0082,2025-11-12 20:36:41.633877
login,0.006,2025-11-12 20:37:35.228823
root,0.0033,2025-11-12 20:37:58.633541
root,0.0001,2025-11-12 20:37:58.645262
get_login_page,0.0001,2025-11-12 20:37:58.747629
get_login_page,0.0001,2025-11-12 20:37:58.755851
login,0.007,2025-11-12 20:38:06.054399
get_login_page,0.0002,2025-11-12 20:38:06.102765
get_registration_page,0.0016,2025-11-12 20:38:08.429458
get_login_page,0.0001,2025-11-12 20:38:08.456885
get_login_page,0.0001,2025-11-12 20:38:12.434839
get_login_page,0.0001,2025-11-12 20:38:12.470789
login,0.006,2025-11-12 20:38:21.916705
get_login_page,0.0001,2025-11-12 20:38:21.953825
root,0.0046,2025-11-12 20:44:59.813622
get_login_page,0.0005,2025-11-12 20:44:59.922267
login,0.0083,2025-11-12 20:45:18.035654
get_login_page,0.0001,2025-11-12 20:45:18.071543
get_registration_page,0.0016,2025-11-12 20:45:20.335671
get_login_page,0.0001,2025-11-12 20:45:20.368382
registration,0.0024,2025-11-12 20:45:30.187369
get_login_page,0.0001,2025-11-12 20:45:30.222948
root,0.005,2025-11-12 20:48:53.908133
get_login_page,0.0002,2025-11-12 20:48:53.955050
login,0.0035,2025-11-12 20:49:02.404382
get_home_page,0.0044,2025-11-12 20:49:02.417345
http_exception_handler,0.0015,2025-11-12 20:49:02.459411
logout,0.0002,2025-11-12 20:49:05.221734
login,0.0027,2025-11-12 20:49:13.813946
get_home_page,0.0021,2025-11-12 20:49:13.824325
logout,0.0002,2025-11-12 20:49:17.489318
login,0.0024,2025-11-12 20:49:52.378880
get_home_page,0.0024,2025-11-12 20:49:52.389778
root,0.0039,2025-11-14 16:15:11.573712
root,0.0001,2025-11-14 16:15:11.745337
login,0.0015,2025-11-14 16:15:19.997046
get_home_page,0.0018,2025-11-14 16:15:20.003207
